Date,Amount Salary,Amount BankSC,13 Drews Ct.,Work Related/Other,Description,Description II,Receipt Group,,,,,,,,,,,,,,
10/1/2013,924.39,,,,Salary,1st Salary,,,,,,,,,,,,,,,
10/1/2013,-67.31,,,,Groceries,publix,,,,,,,,,,,,,,,
10/1/2013,-6.05,,,,Restaurant meal,drakes,,,,,,,,,,,,,,,
10/3/2013,-10.87,,,,Groceries,trader joes,,,,,,,,,,,,,,,
10/3/2013,-7.5,,,,Bar,two beers,,,,,,,,,,,,,,,
10/3/2013,-99.99,,,,Beer Supplies,grain mill,,,,,,,,,,,,,,,
10/4/2013,-375,,,,Rent,$500 deduction for living downtown,,,,,,,,,,,,,,,
10/4/2013,-102.92,,,,Cable,,,,,,,,,,,,,,,,
10/5/2013,-28.55,,,,Gas,,,,,,,,,,,,,,,,
10/6/2013,-10.11,,,,Restaurant meal,subway,,,,,,,,,,,,,,,
10/6/2013,-14,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
10/6/2013,-18.52,,,,Groceries,Publix,,,,,,,,,,,,,,,
10/7/2013,-33.18,,,,At&T phone bill,,,s,,,,,,,,,,,,,
10/7/2013,0,,,,Restaurant meal,cash(7.0),,,,,,,,,,,,,,,
10/7/2013,0,,,,Restaurant meal,(10 Cash) pizza man,,,,,,,,,,,,,,,
10/8/2013,0,-665,,,Taxes South Carolina,2012 Return,,,,,,,,,,,,,,,
10/8/2013,,-1328,,,Taxes Federal,2012 Return,,,,,,,,,,,,,,,
10/9/2013,-9.2,,,,Miscellaneous,Stamps,,,,,,,,,,,,,,,
10/9/2013,-40,,,,Parking,,,,,,,,,,,,,,,,
10/9/2013,-26.47,,,,Groceries,Publix,,,,,,,,,,,,,,,
10/10/2013,,,,,Dip,3.35(cash),,,,,,,,,,,,,,,
10/11/2013,-9.88,,,,Restaurant meal,Jason's Deli,,,,,,,,,,,,,,,
10/11/2013,,,,,Gas,West Columbia,,,,,,,,,,,,,,,
10/11/2013,-50,,,,Beer Supplies,"Holy City, 50lb 2 Row",,,,,,,,,,,,,,,
10/11/2013,-21,,,,Bar,Leaf Cafe,,,,,,,,,,,,,,,
10/12/2013,-20.25,,,,Beer Supplies,Bottles,,,,,,,,,,,,,,,
10/14/2013,-8,,,,Parking Ticket,City of Columbia,,,,,,,,,,,,,,,
10/15/2013,-3.35,,,,Dip,,,,,,,,,,,,,,,,
10/16/2013,1005.41,,,,Salary,09/17/2013-10/01/2013,,,,,,,,,,,,,,,
10/16/2013,-17.5,,,,Groceries,publix,,,,,,,,,,,,,,,
10/17/2013,-25.58,,,,Repair,fuel fillter,,,,,,,,,,,,,,,
10/18/2013,-3.35,,,,Dip,,,,,,,,,,,,,,,,
10/19/2013,-17.66,,,,Restaurant meal,Five Guys,,,,,,,,,,,,,,,
10/19/2013,100,,,,Birthday Present,Lucy Seabrook,,,,,,,,,,,,,,,
10/16/2013,-100,,,,ATM,100,,,,,,,,,,,,,,,
10/19/2013,-13.12,,,,Groceries,Publix,,,,,,,,,,,,,,,
10/20/2013,21.91,,,,Gas,,,,,,,,,,,,,,,,
